userinputid	inputvalue	assessmentvalue	repetitions	inputtimestamp	presentationtimestamp	startplaytimestamp	stopplaytimestamp	comment	status	itemid	url	label	options	expected	userid	initials	email	sex	accent	accentcity	firstlanguage	spokendialect	hearing	profession	education	parentslanguage	sessionid	participantage	environment	equipment	device	browser	startdate	enddate	residence	campaign	sectionid	position	ordering	active	scriptid	experiment	projectname	adminid	musicalinstrument	handedness	speechrate	ipaddress	foreignlanguages	fatherscity	motherscity	birthcity	proficiency	frequency	birthyear	birthmonth	hostname	username
2290121	ուրախություն		1	1588179214847	1588179211712	1588179212594	1588179213638	null	done	2287459	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_E_tempo.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	118	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290122	վախ		1	1588179218163	1588179215033	1588179216047	1588179216838	null	done	2287507	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_A.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	19	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290123	զզվանք		1	1588179221887	1588179218333	1588179219457	1588179220418	null	done	2287493	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_E_tempo.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	116	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290124	վախ		1	1588179225197	1588179222049	1588179222948	1588179223719	null	done	2287496	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_A_tempo.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	62	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290125	զայրույթ		1	1588179229492	1588179225363	1588179226457	1588179227518	null	done	2287551	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_s_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	124	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290126	վախ		1	1588179232842	1588179229645	1588179230434	1588179231158	null	done	2287474	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A_tempo.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	124	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290127	զայրույթ		2	1588179238621	1588179232995	1588179233786	1588179238118	null	done	2287567	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	63	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290128	վախ		1	1588179245638	1588179238791	1588179239520	1588179240338	null	done	2287512	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_s.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	1	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290129	չեզոք		1	1588179248194	1588179245808	1588179246698	1588179247578	null	done	2287534	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_s.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	73	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290130	վախ		1	1588179251174	1588179248363	1588179249174	1588179250258	null	done	2287585	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	178	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290131	չեզոք		1	1588179254009	1588179251345	1588179252343	1588179253398	null	done	2287445	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	11	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290132	զայրույթ		1	1588179257981	1588179254185	1588179255090	1588179257198	null	done	2287545	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_E_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	172	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290133	վախ		1	1588179261804	1588179258157	1588179258969	1588179259798	null	done	2287488	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_E_tempo.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	65	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290134	չեզոք		1	1588179265754	1588179261980	1588179263132	1588179263938	null	done	2287529	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	180	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290135	տխրություն		1	1588179268223	1588179265926	1588179266678	1588179267678	null	done	2287513	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_T.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	69	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290136	վախ		1	1588179271071	1588179268394	1588179269305	1588179270418	null	done	2287556	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_F_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	16	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290137	վախ		1	1588179274985	1588179271245	1588179272036	1588179272738	null	done	2287489	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s_tempo.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	99	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290138	զայրույթ		1	1588179277513	1588179275174	1588179275888	1588179277018	null	done	2287553	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_F_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	20	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
